trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-20.624103935255622,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-51.973873287293394,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,16,-16.595963992184863,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",35,0,-139.35860381242114,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-46.55886767497722,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,-59.05774678744517,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-54.74109903900139,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,7,-11.83276043387095,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,0,-72.73018135028533,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-54.03700029873041,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,7,-16.214389478888084,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,3,-63.421188122523745,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,0,8.557826871830471,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,12,5.697466061273165,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,4,-36.01161084796921,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,8,10.190128437416915,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,14,-5.003430830748612,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,7,-19.625030693428876,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,6,1.5810946341045369,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,10,-7.0672226222488685,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-42.89772975824212,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",30,14,16.37432710056451,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,12,13.625863014279998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,12,14.614752566744812,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-29.808827145146143,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",25,7,-15.979558921019482,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,0,-48.51176711098213,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,13.103046192622394,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,10,17.20409846754908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,0,-57.434453229987746,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,6,21.705940718241774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,9,-72.15504872376673,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,6,23.952447876299406,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,3,35.14134802877802,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
